path	emotion	split	dataset	augmentation	language
../Datasets/custom_db/subesco/train/surprise_2024.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/angry_4393.wav	angry	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_681.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_6221.wav	neutral	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_1037.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_4226.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_5096.wav	neutral	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_4619.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_3720.wav	neutral	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_4785.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_3227.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/fear_6978.wav	fear	train	subesco	none	bn
../Datasets/custom_db/subesco/train/angry_6774.wav	angry	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_1555.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_2267.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_4843.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_4241.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_6761.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_6257.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_4013.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_5095.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_4718.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/angry_1834.wav	angry	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_3589.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_572.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_1392.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_1148.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_327.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_6645.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_3401.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_2272.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/fear_4084.wav	fear	train	subesco	none	bn
../Datasets/custom_db/subesco/train/angry_24.wav	angry	train	subesco	none	bn
../Datasets/custom_db/subesco/train/angry_3649.wav	angry	train	subesco	none	bn
../Datasets/custom_db/subesco/train/fear_1683.wav	fear	train	subesco	none	bn
../Datasets/custom_db/subesco/train/angry_6555.wav	angry	train	subesco	none	bn
../Datasets/custom_db/subesco/train/angry_3948.wav	angry	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_432.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_115.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_5881.wav	neutral	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_2198.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_4614.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/disgust_1854.wav	disgust	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_1176.wav	neutral	train	subesco	none	bn
../Datasets/custom_db/subesco/train/fear_4750.wav	fear	train	subesco	none	bn
../Datasets/custom_db/subesco/train/fear_519.wav	fear	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_2816.wav	neutral	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_161.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_3008.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_6212.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/happy_220.wav	happy	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_5909.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/fear_3255.wav	fear	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_4775.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/sad_3737.wav	sad	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_6051.wav	neutral	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_3534.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/surprise_4405.wav	surprise	train	subesco	none	bn
../Datasets/custom_db/subesco/train/neutral_3120.wav	neutral	train	subesco	none	bn
