,dataset,model,size,dropout,opt,lr,accuracy,f1_weighted
0,tess,vggish,2048,0.2,adamax,1e-05,0.9287410926365796,0.9287061040717902
1,tess,vggish,2048,0.2,adam,0.0001,0.9263657957244655,0.9263549922779555
2,tess,vggish,512,0.0,adamax,0.001,0.9323040380047506,0.9322785386987342
3,tess,vggish,512,0.0,adamax,1e-05,0.9275534441805225,0.9274698461290719
4,tess,vggish,2048,0.5,adamax,0.0001,0.9287410926365796,0.9287393554602146
5,tess,vggish,512,0.0,adamax,0.0001,0.9334916864608076,0.933493789630308
6,tess,vggish,2048,0.0,adam,1e-05,0.9370546318289786,0.9369649666804701
7,tess,vggish,512,0.2,adamax,0.001,0.9346793349168646,0.9346701559048591
8,tess,vggish,2048,0.0,adamax,1e-05,0.9323040380047506,0.9322289447241726
9,tess,vggish,2048,0.2,adam,0.001,0.9239904988123515,0.9236234819544327
10,tess,vggish,1024,0.2,adamax,1e-05,0.9192399049881235,0.9192985328890796
11,tess,vggish,1024,0.2,adamax,0.0001,0.9263657957244655,0.9260668379913689
12,tess,vggish,2048,0.0,adam,1e-05,0.9287410926365796,0.928607546371533
13,tess,vggish,1024,0.0,adam,0.001,0.9346793349168646,0.9346043353241009
14,tess,vggish,1024,0.2,adamax,0.001,0.9311163895486936,0.9312805235649054
15,tess,vggish,512,0.2,adam,0.0001,0.9216152019002375,0.9214390473887519
16,tess,vggish,2048,0.0,adam,0.0001,0.9346793349168646,0.9347239008959545
17,tess,vggish,1024,0.2,adam,0.0001,0.9418052256532067,0.941577744269807
18,tess,vggish,1024,0.0,adamax,0.0001,0.9311163895486936,0.9310683445433784
19,tess,vggish,2048,0.5,adamax,0.0001,0.9311163895486936,0.9310394462807245
20,tess,vggish,512,0.2,adamax,0.001,0.9311163895486936,0.9311338640457756
21,tess,vggish,2048,0.5,adam,1e-05,0.9334916864608076,0.9333185463436912
22,tess,yamnet,2048,0.5,adamax,1e-05,0.7640882044102205,0.7646418147364333
23,tess,yamnet,1024,0.2,adam,1e-05,0.7630381519075954,0.7633691850100939
24,tess,yamnet,1024,0.5,adamax,0.001,0.7714385719285964,0.7724661137943206
25,tess,yamnet,2048,0.0,adamax,0.001,0.7822891144557228,0.7839440688549653
26,tess,yamnet,512,0.0,adamax,0.0001,0.7658382919145957,0.7657882087319396
27,tess,yamnet,512,0.0,adamax,1e-05,0.7514875743787189,0.7517985505348918
28,tess,yamnet,2048,0.0,adamax,0.0001,0.7654882744137207,0.7657928689252893
29,tess,yamnet,1024,0.2,adam,0.0001,0.7640882044102205,0.7630673801410927
30,tess,yamnet,1024,0.0,adam,0.0001,0.7777388869443472,0.7776100776905126
31,tess,yamnet,1024,0.5,adam,1e-05,0.767588379418971,0.768556687009515
32,tess,yamnet,2048,0.0,adamax,0.001,0.759537976898845,0.7578381718839563
33,tess,yamnet,512,0.2,adam,0.001,0.7430871543577179,0.7440807370658364
34,tess,yamnet,2048,0.0,adamax,1e-05,0.7630381519075954,0.7633640408864808
35,tess,yamnet,2048,0.5,adamax,0.001,0.7871893594679734,0.7881182572054651
36,tess,yamnet,2048,0.0,adam,1e-05,0.7640882044102205,0.7646291917728608
37,tess,yamnet,1024,0.5,adam,0.0001,0.7647882394119706,0.7665059919541132
38,tess,yamnet,1024,0.2,adamax,0.001,0.7472873643682184,0.7492136784711014
39,tess,yamnet,1024,0.5,adam,0.0001,0.7633881694084704,0.7651566331496901
40,tess,yamnet,1024,0.0,adamax,0.001,0.744137206860343,0.744891686954136
41,tess,yamnet,512,0.5,adamax,1e-05,0.7605880294014701,0.760959301493127
42,tess,yamnet,512,0.2,adam,0.001,0.7773888694434722,0.7781527667198571
43,tess,yamnet,2048,0.5,adamax,0.001,0.7409870493524676,0.7414994601589235
44,ravdess,vggish,512,0.5,adam,0.0001,0.43956043956043955,0.44681331212130565
45,ravdess,vggish,2048,0.5,adam,0.001,0.45604395604395603,0.44361695108714083
46,ravdess,vggish,512,0.5,adamax,0.0001,0.5,0.4941887767015101
47,ravdess,vggish,2048,0.0,adam,0.001,0.44505494505494503,0.4279197415002116
48,ravdess,vggish,2048,0.0,adamax,0.0001,0.49725274725274726,0.4923298307281448
